,row_number,Timestamp,Resource,User,Action,is_anomaly,decision_scores,Cluster
44,44,0.0,14,452,4,1,0.0689172186434247,2
45,45,0.0,3,131,4,1,0.02913630202700712,2
46,46,0.0,14,661,4,1,0.08186190185320463,2
47,47,0.0,3,2044,4,1,0.0441664862524509,2
48,48,0.0,3,2020,3,1,0.08245458655051419,2
49,49,0.0,16,947,1,1,0.08605947764568433,2
50,50,0.0,14,1460,3,1,0.11440193949471156,2
51,51,0.0,3,117,2,1,0.06620177294055224,2
52,52,0.0,3,1176,2,1,0.10486919559990948,2
53,53,0.0,14,1735,1,1,0.08579811084200706,2
54,54,0.0,14,768,3,1,0.11618146019714498,2
55,55,0.0,3,758,1,1,0.10410227684156081,2
56,56,0.0,3,1350,3,1,0.10659018099316053,2
57,57,0.0,16,1363,0,1,0.05433651040686882,2
58,58,0.0,14,836,2,1,0.12083091915702959,2
59,59,0.0,18,1601,3,1,0.05881819542691963,2
60,60,0.0,18,893,0,1,0.03436820286248787,2
61,61,0.0,3,826,2,1,0.1116047086227206,2
62,62,0.0,16,364,1,1,0.0745717283884732,2
63,63,0.0,3,1254,3,1,0.10515692213616329,2
64,64,0.0,16,605,0,1,0.054656053198932464,2
65,65,0.0,3,809,0,1,0.08763629718254179,2
66,66,0.0,14,803,4,1,0.08597494247315873,2
67,67,0.0,18,1298,1,1,0.054795875259308346,2
68,68,0.0,14,622,1,1,0.10173198403679706,2
69,69,0.0,18,1077,1,1,0.063427592994733,2
70,70,0.0,14,609,2,1,0.11389071631407388,2
71,71,0.0,18,48,4,0,-0.019779009414100712,2
72,72,0.0,14,502,4,1,0.0723292185296236,2
73,73,0.0,18,546,3,1,0.0631754699039277,2
74,74,0.0,14,1344,0,1,0.07416916897014197,2
75,75,0.0,18,514,1,1,0.05296663843240468,2
76,76,0.0,14,1647,4,1,0.08641028753827934,2
77,77,0.0,18,832,3,1,0.06759515678102224,2
78,78,0.0,14,2022,0,1,0.04974738594903466,2
79,79,0.0,18,1979,1,1,0.02952938200829669,2
80,80,0.0,14,2094,2,1,0.07855171244088638,2
81,81,0.0,18,1779,2,1,0.0628904629585777,2
82,82,0.0,15,1033,4,1,0.07320763937677699,2
83,83,0.0,15,823,0,1,0.06853346631613988,2
84,84,0.0,14,1377,2,1,0.11561886540117827,2
85,85,0.0,18,1508,0,1,0.027119403638730555,2
86,86,0.0,15,456,0,1,0.05245130520367408,2
87,87,0.0,15,29,3,1,0.03243759678863378,2
88,88,0.0,14,1486,1,1,0.09331946559206394,2
89,89,0.0,18,1848,4,1,0.024628593685790623,2
90,90,0.0,3,1213,1,1,0.10114210108528843,2
91,91,0.0,18,2205,3,1,0.008923710205538504,2
92,92,0.0,16,851,4,1,0.06846578926544483,2
93,93,0.0,3,2025,0,1,0.023229588052617656,2
94,94,0.0,18,692,0,1,0.03153784094362688,2
95,95,0.0,3,1753,1,1,0.08632998331661057,2
96,96,0.0,14,1375,3,1,0.11392349221467651,2
97,97,0.0,18,1346,1,1,0.05674794914897635,2
98,98,0.0,14,1635,1,1,0.09169416508738254,2
99,99,0.0,18,1472,4,1,0.03225512295717081,2
100,100,0.0,18,1947,3,1,0.039788103617009685,2
101,101,0.0,3,32,2,1,0.04736426857586151,2
102,102,0.0,11,242,2,1,0.08461501190371673,2
103,103,0.0,18,374,0,1,0.0174333063148836,2
104,104,0.0,18,2144,0,0,-0.00360569550151435,2
105,105,0.0,3,21,4,1,0.013627132632854755,2
106,106,0.0,11,983,2,1,0.1207577659300394,2
107,107,0.0,14,1308,4,1,0.0860478198410567,2
108,108,0.0,11,188,1,1,0.06794354432727262,2
109,109,0.0,14,1918,3,1,0.08770100151122201,2
110,110,0.0,18,1442,2,1,0.07138809825799286,2
111,111,0.0,11,1802,2,1,0.10722929268899384,2
112,112,0.0,3,1365,4,1,0.07725170652574259,2
113,113,0.0,18,1257,3,1,0.06533675980013293,2
114,114,0.0,0,611,0,1,0.020877827208659827,2
115,115,0.0,0,578,0,1,0.016539312892280056,2
116,116,0.0,0,271,0,1,0.00971868718606117,2
117,117,0.0,3,547,2,1,0.10532087929889056,2
118,118,0.0,3,1338,1,1,0.10101697910800383,2
119,119,0.0,18,1946,1,1,0.035091373016523875,2
120,120,0.0,11,353,3,1,0.09547019495882902,2
121,121,0.0,18,739,3,1,0.06629739012911029,2
122,122,0.0,14,181,0,1,0.037313362601528954,2
123,123,0.0,11,1871,1,1,0.0830888247401616,2
124,124,0.0,14,1099,0,1,0.08301265449849354,2
125,125,0.0,11,1468,0,1,0.07564442725949022,2
126,126,0.0,18,1136,0,1,0.029953122292776135,2
127,127,0.0,11,1857,4,1,0.07046893350439049,2
128,128,0.0,3,1564,2,1,0.10600592025106109,2
129,129,0.0,18,1624,4,1,0.028769879395229236,2
130,130,0.0,0,1999,2,1,0.02340638172506959,2
131,131,0.0,0,1166,3,1,0.028434089875572832,2
132,132,0.0,3,1055,4,1,0.08236069325409923,2
133,133,0.0,16,1387,0,1,0.054114630744012626,2
134,134,0.0,11,879,3,1,0.11237680159667296,2
135,135,0.0,18,936,2,1,0.07615170030668666,2
136,136,0.0,11,817,0,1,0.08663330237121958,2
137,137,0.0,18,655,2,1,0.06981982498851586,2
138,138,0.0,11,183,3,1,0.07078985602149596,2
139,139,0.0,18,1108,3,1,0.059207454667631054,2
140,140,0.0,11,497,0,1,0.06782038572843241,2
141,141,0.0,18,830,1,1,0.06286367906201051,2
142,142,0.0,11,1739,2,1,0.10234471474371193,2
143,143,0.0,18,2227,4,0,-0.029939108816067095,2
144,144,0.0,11,1290,3,1,0.10817841928520266,2
145,145,0.0,18,1826,2,1,0.060896204359392136,2
146,146,0.0,3,134,0,1,0.027290985095420606,2
147,147,0.0,18,2146,0,0,-0.00821531810879872,2
148,148,0.0,3,1488,0,1,0.06486923294121327,2
149,149,0.0,18,481,0,1,0.01816804387124693,2
150,150,0.0,18,1001,0,1,0.032435512793125176,2
151,151,0.0,3,1766,1,1,0.08573191502096689,2
152,152,0.0,16,1716,0,1,0.04030493693715487,2
153,153,0.0,3,2203,1,1,0.022200189604782206,2
154,154,0.0,3,495,0,1,0.07073422513157313,2
155,155,0.0,14,1588,2,1,0.10829716676749507,2
156,156,0.0,14,896,1,1,0.10975424452299065,2
157,157,0.0,3,286,4,1,0.04189343215401431,2
158,158,0.0,3,393,2,1,0.09341048209389674,2
159,159,0.0,14,261,4,1,0.052186789718973,2
160,160,0.0,3,673,1,1,0.10040849819066672,2
161,161,0.0,14,1882,3,1,0.08956937933738746,2
162,162,0.0,3,888,2,1,0.1115320080578514,2
163,163,0.0,14,801,3,1,0.11530345471183479,2
164,164,0.0,3,1439,4,1,0.07249558385602861,2
165,165,0.0,16,1705,2,1,0.07970045830922473,2
166,166,0.0,3,1610,3,1,0.09702214525181524,2
167,167,0.0,4,1963,3,0,-0.0004894589329391685,2
168,168,0.0,4,171,2,0,-0.02202692579028509,2
169,169,0.0,18,745,1,0,-0.011638309845663164,2
170,170,0.0,4,2221,1,0,-0.039723587504961744,2
171,171,0.0,18,512,2,0,-0.016398801437229382,2
172,172,0.0,4,1035,1,1,0.021337835381020964,2
173,173,0.0,3,160,1,0,-0.003228852613361144,2
174,174,0.0,4,293,2,0,-0.005705607120998546,2
175,175,0.0,18,348,1,0,-0.017706478427906847,2
176,176,0.0,3,187,4,0,-0.024790763638462,2
177,177,0.0,3,1497,4,1,0.005216681163002335,2
178,178,0.0,18,854,4,0,-0.021016936122351115,2
179,179,0.0,16,1720,2,1,0.01990097635763788,2
180,180,0.0,3,1020,4,1,0.019046175150215783,2
181,181,0.0,14,1544,3,1,0.06192322354299867,2
182,182,0.0,3,1558,4,1,0.011177509743968805,2
183,183,0.0,14,384,3,1,0.04602070813772796,2
184,184,0.0,3,700,3,1,0.05039710275962739,2
185,185,0.0,3,1941,3,1,0.03478789047915565,2
186,186,0.0,16,1096,4,1,0.023300179848303237,2
187,187,0.0,14,1046,3,1,0.06366782457126546,2
188,188,0.0,3,94,4,0,-0.029373125941508538,2
189,189,0.0,14,635,4,1,0.03615515096083388,2
190,190,0.0,3,2027,4,0,-0.006245615853740616,2
191,191,0.0,14,499,4,1,0.02499529051761895,2
192,192,0.0,3,796,0,1,0.03390005643481653,2
193,193,0.0,14,2124,3,1,0.02520832725220079,2
194,194,0.0,3,2001,3,1,0.030283777588943406,2
195,195,0.0,14,1070,0,1,0.03322149626739601,2
196,196,0.0,3,781,1,1,0.04571728932947283,2
197,197,0.0,3,179,3,0,-0.0001830753632258153,2
198,198,0.0,14,1612,0,1,0.020090104535020137,2
199,199,0.0,14,2038,1,1,0.019941879275381602,2
200,200,0.0,3,1393,4,1,0.015224284352932882,2
201,201,0.0,16,2135,4,0,-0.017548628332882954,2
202,202,0.0,3,1879,3,1,0.0369023452868148,2
203,203,0.0,18,654,4,0,-0.017560810240442537,2
204,204,0.0,3,1594,3,1,0.04461524629563185,2
205,205,0.0,3,382,1,1,0.028340121555614273,2
206,206,0.0,16,814,2,1,0.04603506171492944,2
207,207,0.0,3,2186,3,1,0.003421318351346514,2
208,208,0.0,18,330,3,1,0.00018800309294564332,2
209,209,0.0,3,737,0,1,0.027864897087575446,2
210,210,0.0,18,1216,2,1,0.020810443035001347,2
211,211,0.0,18,2069,0,0,-0.04923603030945012,2
212,212,0.0,11,2100,4,0,-0.01819030482445838,2
213,213,0.0,11,891,4,1,0.022812670708521332,2
214,214,0.0,18,1916,1,0,-0.02151329895363452,2
215,215,0.0,11,1619,1,1,0.036058157117630496,2
216,216,0.0,18,360,3,1,0.0005648486202849412,2
217,217,0.0,11,1519,1,1,0.041797636362274515,2
218,218,0.0,18,11,2,0,-0.047141143251138606,2
219,219,0.0,3,708,0,1,0.02716035952466933,2
220,220,0.0,18,354,1,0,-0.0053961751693247795,2
221,221,0.0,11,515,2,1,0.04914571722659805,2
222,222,0.0,3,1783,2,1,0.03209783758390139,2
223,223,0.0,11,445,3,1,0.04350959497935425,2
224,224,0.0,14,2147,2,1,0.01300677198281297,2
225,225,0.0,14,527,1,1,0.04492139614289892,2
226,226,0.0,11,214,4,0,-0.005923584862826847,2
227,227,0.0,3,1093,0,1,0.02344367363675115,2
228,228,0.0,11,1371,4,1,0.019154581139340987,2
229,229,0.0,3,1135,3,1,0.05002635300547864,2
230,230,0.0,16,1917,1,1,0.006915359889762218,2
231,231,0.0,14,800,1,1,0.01169653334117604,2
232,232,0.0,18,1188,1,0,-0.01601303430317369,2
233,233,0.0,14,493,3,1,0.0045123456475536505,2
234,234,0.0,18,142,0,0,-0.0763760768556595,2
235,235,0.0,18,688,1,0,-0.02532973847555897,2
236,236,0.0,3,1709,2,1,0.0030523181773213226,2
237,237,0.0,16,1362,2,0,-0.0008650948563035943,2
238,238,0.0,3,979,3,1,0.01777758300188903,2
239,239,0.0,14,396,4,1,0.04848935386294567,2
240,240,0.0,3,490,3,1,0.07488025174193053,2
241,241,0.0,16,2024,4,1,0.02935874934323346,2
242,242,0.0,3,614,0,1,0.058129760654620166,2
243,243,0.0,14,2211,2,1,0.03777788169318663,2
244,244,0.0,11,2021,1,1,0.05532935872740613,2
245,245,0.0,11,2016,4,1,0.04326154309692509,2
246,246,0.0,11,649,0,1,0.05279112412757497,2
247,247,0.0,14,1929,2,1,0.0735899248197609,2
248,248,0.0,11,1671,2,1,0.08763388090458363,2
249,249,0.0,14,119,0,1,0.020740884706850315,2
250,250,0.0,11,674,0,1,0.05497203932429273,2
251,251,0.0,11,1390,3,1,0.09918799576139814,2
252,252,0.0,18,2149,3,1,0.0028936451679940633,2
253,253,0.0,18,1956,3,1,0.009563484291896018,2
254,254,0.0,3,329,0,1,0.03780882605289437,2
255,255,0.0,16,526,1,1,0.056812706044375993,2
256,256,0.0,3,2204,3,1,0.035309077436948,2
257,257,0.0,11,1593,3,1,0.09231111433065164,2
258,258,0.0,18,1565,4,1,0.009251228973771064,2
259,259,0.0,3,402,0,1,0.044173801636013255,2
260,260,0.0,18,1887,0,0,-0.010651866123049913,2
261,261,0.0,14,681,0,1,0.0682574852768521,2
262,262,0.0,3,1182,0,1,0.05602252646084821,2
263,263,0.0,14,1291,4,1,0.06827905293066439,2
264,264,0.0,3,1236,0,1,0.052675318725155795,2
265,265,0.0,16,1501,4,1,0.047461709290194665,2
266,266,0.0,3,821,4,1,0.049785689520063625,2
267,267,0.0,3,2067,0,0,-0.006148798997064664,2
268,268,0.0,16,1467,2,1,0.058602615687446014,2
269,269,0.0,3,376,3,1,0.07378156600848684,2
270,270,0.0,18,1247,4,1,0.02897294981130527,2
271,271,0.0,3,1700,3,1,0.09574241845748616,2
272,272,0.0,5,1698,1,1,0.06362572875688521,2
273,273,0.0,5,1702,1,1,0.06122784684881799,2
274,274,0.0,5,1304,2,1,0.07141334197727972,2
275,275,0.0,0,1395,2,1,0.03418287516013385,2
276,276,0.0,3,883,0,1,0.0836129114650111,2
277,277,0.0,0,1517,1,1,0.03582454847259975,2
278,278,0.0,0,15,3,0,-0.011003401691407011,2
279,279,0.0,0,1175,2,1,0.02795340803290758,2
280,280,0.0,3,1704,4,1,0.06672758015319297,2
281,281,0.0,3,1712,3,1,0.0977929225357213,2
282,282,0.0,3,2155,2,1,0.06629611129178381,2
283,283,0.0,5,138,1,1,0.02865351805830685,2
284,284,0.0,5,347,1,1,0.054514370627764486,2
285,285,0.0,5,1059,2,1,0.07551600458190849,2
286,286,0.0,3,270,2,1,0.09088507733120127,2
287,287,0.0,3,1389,4,1,0.0774870771198265,2
288,288,0.0,5,346,4,1,0.01954767929235035,2
289,289,0.0,5,125,0,0,-0.00704343711058808,2
290,290,0.0,5,1413,1,1,0.07326650259213585,2
291,291,0.0,14,747,4,1,0.09065338591392719,2
292,292,0.0,11,1281,0,1,0.0793037564488927,2
293,293,0.0,14,443,1,1,0.0962849414839016,2
294,294,0.0,11,2047,4,1,0.04576438565961827,2
295,295,0.0,18,1421,2,1,0.07063797657559195,2
296,296,0.0,11,504,3,1,0.10185151242739182,2
297,297,0.0,3,192,2,1,0.07029337655491263,2
298,298,0.0,18,479,2,1,0.06354116569365248,2
299,299,0.0,16,339,0,1,0.04469418742497533,2
300,300,0.0,16,2056,4,1,0.0344923915970996,2
301,301,0.0,3,1672,4,1,0.06866321538501391,2
302,302,0.0,4,965,2,1,0.08625931078293803,2
303,303,0.0,3,1728,4,1,0.06869719359985332,2
304,304,0.0,12,1489,3,1,0.105558084589982,2
305,305,0.0,4,2193,4,0,-0.007874344746297779,2
306,306,0.0,12,2039,0,1,0.04699927783096802,2
307,307,0.0,4,576,4,1,0.03701777874947154,2
308,308,0.0,18,1382,2,1,0.07065563394068908,2
309,309,0.0,4,880,1,1,0.07559592819346439,2
310,310,0.0,18,741,4,1,0.0340754635161431,2
311,311,0.0,4,245,4,1,0.01130528590779134,2
312,312,0.0,4,311,0,1,0.03565641845942469,2
313,313,0.0,3,81,1,1,0.046731309611914296,2
314,314,0.0,3,1189,1,1,0.09924093270399392,2
315,315,0.0,16,1689,1,1,0.07192414409970471,2
316,316,0.0,3,987,1,1,0.10175562374047553,2
317,317,0.0,18,408,3,1,0.05370109756159036,2
318,318,0.0,5,853,0,1,0.05047739992707179,2
319,319,0.0,3,1146,4,1,0.0776150438315773,2
320,320,0.0,5,1596,0,1,0.035547285473839785,2
321,321,0.0,5,492,3,1,0.05604187744464523,2
322,322,0.0,5,630,0,1,0.03965051057572655,2
323,323,0.0,3,1496,4,1,0.07314145942219824,2
324,324,0.0,3,1503,2,1,0.11085797459007113,2
325,325,0.0,16,794,0,1,0.066491877233533,2
326,326,0.0,18,615,4,1,0.03564843364972936,2
327,327,0.0,11,1392,1,1,0.10117219163361763,2
328,328,0.0,18,102,4,0,-0.01315319515606539,2
329,329,0.0,3,1440,3,1,0.10849770916313062,2
330,330,0.0,3,51,0,1,0.015055837321014343,2
331,331,0.0,5,459,0,1,0.03362745101239739,2
332,332,0.0,3,930,3,1,0.10467471344536344,2
333,333,0.0,5,1922,2,1,0.058779579176734154,2
334,334,0.0,5,1186,2,1,0.0767460157662414,2
335,335,0.0,5,1243,3,1,0.07559361601092879,2
336,336,0.0,18,1034,3,1,0.05919581092034548,2
337,337,0.0,3,1586,4,1,0.06689258798261372,2
338,338,0.0,11,944,2,1,0.12121529294307859,2
339,339,0.0,18,1144,0,1,0.031800413596723476,2
340,340,0.0,18,1809,0,1,0.02057899505480021,2
341,341,0.0,11,2004,2,1,0.09327160323349981,2
342,342,0.0,3,1714,3,1,0.09870398956221255,2
343,343,0.0,18,216,2,1,0.03840816990884044,2
344,344,0.0,3,536,3,1,0.09374150343901438,2
345,345,0.0,16,787,0,1,0.06797511944049434,2
346,346,0.0,11,834,0,1,0.09004829566528982,2
347,347,0.0,3,690,4,1,0.07295990924795165,2
348,348,0.0,11,1745,2,1,0.1045949336213765,2
349,349,0.0,11,398,0,1,0.062447842860002434,2
350,350,0.0,11,645,4,1,0.07338202411229755,2
351,351,0.0,11,862,0,1,0.09048699233265145,2
352,352,0.0,11,610,1,1,0.09742394205774957,2
353,353,0.0,11,1154,4,1,0.0773648224147313,2
354,354,0.0,11,1133,1,1,0.0996543790881006,2
355,355,0.0,11,1569,0,1,0.07275787945165002,2
356,356,0.0,11,1283,0,1,0.07992551851855212,2
357,357,0.0,11,1422,2,1,0.1145034822677029,2
358,358,0.0,11,473,1,1,0.09399453264178892,2
359,359,0.0,11,469,0,1,0.07008926854652425,2
360,360,0.0,11,362,0,1,0.06243750171082557,2
361,361,0.0,3,1833,4,1,0.06709252146011396,2
362,362,0.0,16,1993,2,1,0.06904731788388657,2
363,363,0.0,3,468,1,1,0.0902375500747446,2
364,364,0.0,5,782,3,1,0.07544020817182517,2
365,365,0.0,5,1747,1,1,0.06342155338459876,2
366,366,0.0,3,310,1,1,0.08005906933681084,2
367,367,0.0,5,1706,0,1,0.033980865668414184,2
368,368,0.0,5,292,0,1,0.023640969991445826,2
369,369,0.0,3,1737,3,1,0.09838434848020239,2
370,370,0.0,5,69,0,0,-0.014120259956737935,2
371,371,0.0,5,751,2,1,0.08084937894232808,2
372,372,0.0,5,1828,1,1,0.05846251530572977,2
373,373,0.0,3,149,3,1,0.0563161302575913,2
374,374,0.0,16,93,0,1,0.007347937976318053,2
375,375,0.0,3,18,1,1,0.034301142504889026,2
376,376,0.0,3,1602,2,1,0.10626145159549777,2
377,377,0.0,3,1006,4,1,0.08271470985471813,2
378,378,0.0,18,939,1,1,0.05986146224112204,2
379,379,0.0,18,1829,1,1,0.046672341216731916,2
380,380,0.0,14,1815,3,1,0.0986378447029756,2
381,381,0.0,14,2043,3,1,0.07432812698957192,2
382,382,0.0,14,1404,1,1,0.09726192165832304,2
383,383,0.0,18,1201,0,1,0.029081210613702946,2
384,384,0.0,3,1977,1,1,0.06513155128312126,2
385,385,0.0,18,1303,3,1,0.060330899537880456,2
386,386,0.0,3,1799,0,1,0.04069834170927289,2
387,387,0.0,16,831,2,1,0.09834445028486899,2
388,388,0.0,14,1663,4,0,-0.04706994398097286,2
389,389,0.0,11,222,3,0,-0.04572076013797621,2
390,390,0.0,14,1217,0,0,-0.029052628751683685,2
391,391,0.0,11,506,4,0,-0.038071400827368596,2
392,392,0.0,11,545,0,0,-0.03931044915126758,2
393,393,0.0,11,2119,1,0,-0.04287309968076902,2
394,394,0.0,18,631,0,0,-0.08329294189725622,2
395,395,0.0,11,709,4,0,-0.03399321432997948,2
396,396,0.0,11,482,3,0,-0.025756765884198285,2
397,397,0.0,18,1259,1,0,-0.07490620663715197,2
398,398,0.0,18,934,4,0,-0.08398126864672839,2
399,399,0.0,11,1759,0,0,-0.033402615209166986,2
400,400,0.0,3,86,4,0,-0.08126183012138755,2
401,401,0.0,18,190,0,0,-0.09714697297326069,2
402,402,0.0,11,381,3,0,-0.031022875403760253,2
403,403,0.0,3,1696,2,0,-0.022049321543941347,2
404,404,0.0,11,175,1,0,-0.051366705738699614,2
405,405,0.0,3,392,3,0,-0.044058686872602726,2
406,406,0.0,3,753,0,0,-0.036642103982104435,2
407,407,0.0,18,386,2,0,-0.08397152081338732,2
408,408,0.0,18,841,4,0,-0.08312643898302274,2
409,409,0.0,3,2080,0,0,-0.06158187610775778,2
410,410,0.0,11,1736,3,0,-0.021397182081647204,2
411,411,0.0,3,636,1,0,-0.0427810434605318,2
412,412,0.0,11,813,3,0,-0.01304860143848785,2
413,413,0.0,3,352,4,0,-0.052760927244711375,2
414,414,0.0,3,1719,0,0,-0.038677262687849434,2
415,415,0.0,14,4,1,0,-0.07569175130257044,2
416,416,0.0,14,1780,3,0,-0.030448526302780388,2
417,417,0.0,3,1094,1,0,-0.0282254608715079,2
418,418,0.0,3,320,0,0,-0.05800238316287365,2
419,419,0.0,14,1880,4,0,-0.06123261332125085,2
420,420,0.0,14,114,0,0,-0.06458430276157712,2
421,421,0.0,3,1250,3,0,-0.0253146703567515,2
422,422,0.0,14,829,0,0,-0.027438875476736957,2
423,423,0.0,3,1606,1,0,-0.03292874941004398,2
424,424,0.0,14,567,0,0,-0.04377631008897831,2
425,425,0.0,3,238,0,0,-0.07357386808213184,2
426,426,0.0,16,184,1,0,-0.07473973117180577,2
427,427,0.0,3,371,4,0,-0.050731457836490246,2
428,428,0.0,14,1551,3,0,-0.010264898707175396,2
429,429,0.0,3,44,3,0,-0.06302307281946251,2
430,430,0.0,3,2223,2,0,-0.04788058167941511,2
431,431,0.0,14,1975,3,0,-0.03298378716941164,2
432,432,0.0,11,1838,4,0,-0.03781711506259766,2
433,433,0.0,3,1485,3,0,-0.010751892395747253,2
434,434,0.0,3,68,0,0,-0.07695785378186981,2
435,435,0.0,11,1629,1,0,-0.010501500344776593,2
436,436,0.0,16,358,0,0,-0.046668521024511134,2
437,437,0.0,3,940,2,0,-0.013322864004176926,2
438,438,0.0,3,1577,4,0,-0.03129964371652849,2
439,439,0.0,16,968,4,0,-0.01468277177920585,2
440,440,0.0,5,1981,0,0,-0.02655963806535311,2
441,441,0.0,11,498,2,1,0.04393736781178592,2
442,442,0.0,5,1531,2,1,0.021094781796640927,2
443,443,0.0,5,703,1,1,0.01800360703792081,2
444,444,0.0,14,1454,0,1,0.01859066806116938,2
445,445,0.0,5,57,4,0,-0.04902846585986109,2
446,446,0.0,5,1982,3,0,-0.0006941283062111836,2
447,447,0.0,11,1317,0,1,0.019972833824447478,2
448,448,0.0,5,1936,3,1,0.0016477818813130929,2
449,449,0.0,5,1839,1,1,0.00905951642092162,2
450,450,0.0,14,1789,0,1,0.009481397218625731,2
451,451,0.0,11,1089,1,1,0.04815487203976743,2
452,452,0.0,14,151,1,1,0.016979035632257444,2
453,453,0.0,11,1239,2,1,0.06411430161310183,2
454,454,0.0,11,1024,4,1,0.027069883308264875,2
455,455,0.0,14,442,3,1,0.04946413165117636,2
456,456,0.0,14,1772,2,1,0.047394153309206155,2
457,457,0.0,11,1786,2,1,0.0466122441373209,2
458,458,0.0,3,740,0,1,0.032344234424256935,2
459,459,0.0,11,1185,3,1,0.05742467101475446,2
460,460,0.0,16,2097,2,1,0.002419021766660423,2
461,461,0.0,3,1145,2,1,0.039158804620661125,2
462,462,0.0,11,840,2,1,0.06272282099272936,2
463,463,0.0,3,1744,2,1,0.03918588508761045,2
464,464,0.0,11,461,0,1,0.011327702147595708,2
465,465,0.0,14,1987,4,1,0.01461011550139768,2
466,466,0.0,14,1584,2,1,0.05311086531029208,2
467,467,0.0,11,1095,0,1,0.015662553620458874,2
468,468,0.0,14,570,0,1,0.020249514354682363,2
469,469,0.0,11,333,0,1,0.004977908091698624,2
470,470,0.0,14,1925,4,1,0.01625249863040734,2
471,471,0.0,11,1654,0,1,0.006019924941665922,2
472,472,0.0,11,931,0,1,0.027316813732308765,2
473,473,0.0,3,550,2,1,0.034569848655783275,2
474,474,0.0,3,480,0,1,0.016681782458473626,2
475,475,0.0,16,243,3,1,0.014429269562354241,2
476,476,0.0,4,852,1,0,-0.011908690886990314,2
477,477,0.0,3,957,4,0,-0.019751583975619602,2
478,478,0.0,3,808,4,0,-0.020553107420640093,2
479,479,0.0,4,1187,1,0,-0.009704949818695852,2
480,480,0.0,3,1360,1,1,0.011979742822353812,2
481,481,0.0,16,738,0,0,-0.023380963596520088,2
482,482,0.0,11,1973,0,1,0.04215526262894964,2
483,483,0.0,14,429,4,1,0.05526673481660627,2
484,484,0.0,11,1383,3,1,0.10666314060145532,2
485,485,0.0,14,1813,1,1,0.08244587061203434,2
486,486,0.0,18,1616,2,1,0.05314140827250119,2
487,487,0.0,11,1429,1,1,0.08817221334744973,2
488,488,0.0,18,322,3,1,0.04109345690166799,2
489,489,0.0,4,1928,2,1,0.05296933436171147,2
490,490,0.0,14,580,2,1,0.1030463530679081,2
491,491,0.0,4,1727,2,1,0.06329795838214114,2
492,492,0.0,14,1905,1,1,0.07358933453180722,2
493,493,0.0,4,1215,4,1,0.04114823395792966,2
494,494,0.0,11,1418,3,1,0.1061673918233082,2
495,495,0.0,4,89,1,1,0.006719763109778065,2
496,496,0.0,4,422,0,1,0.020765566419484127,2
497,497,0.0,11,1806,0,1,0.05801218215046966,2
498,498,0.0,4,1625,4,1,0.024288196652641925,2
499,499,0.0,3,835,3,1,0.09590992946929733,2
500,500,0.0,14,96,1,1,0.04938682007348205,2
